"","text"
"42","pasword dah bener log in pake lupa pasword nomr hp terdaftar nmrnya dah ilang jd masuk pake email walaupn hp ilang email mungkn ilang ingt paswordnya"
"43"," pembaharuan otomatis logout log in password login email pilihannya nik ktp kartu bpjs pakai nomer hp nomernya hangus susah sdh hubungi cs ganti nomer hp robottrs cs manusianya menyusahkan kekantor ntar surat aneh"
"44"," menghubungi care center untung penggantian no hp no hilang tetep berubah ndak masuk meriksain anak tp bpjs kartunya sempet cetak masuk tolong permudah pakbuk"
"45"," buruk daftar penguna mobile jkn transaksi proses sinyal bagus pulsa transaksi prosesterus"
"46"," verifikasi no hp jkn mobile no sy sesuai data bpjs no masukin no sy hub cs jg mesti hrs nunggu wa pandawa bolak jawabannya chika mengerti membantu skli bintang â aj mengecewakan "
"47","susah bener ribet bener log in gk paswrd gk sesuai standar reset paswrd trus giliran verifikasi no hp gk muncul otp jelek bnget sampe habis pulsa"
"48"," kacau susah masuk password keterangan terdaftar teruspadahal daftar daftar bpjs mandiri data orang kk beda bpjs aneh"
"49"," desa kota bpjs kantor suruh onlindan terapkan onlin ribet sekalidan selesai selesai jugayang pikirkan nasib orang orang technology onlindan orang buta hurup auto selesai selesai bpjsnyasaya sarankan offin biar mudah kasian paham onlin"
"50"," buang buang uang rakyat aturan udah utakatik susah orang ajaliat pensiunan rakyat pelosok online hp"
"51"," sampe skrng server pemerintah bener jelek tauny motong pulsa doang sinyal sekelas wifi dibilang stabil ngegame lancar jaya ubah data data dirubah kemana woi duit pajak dipake gaji "
"52","developernya audit sekelas program pemerintah otp beres experience developernya nunggu kode otp ampe kiamat gabakalan masuk sistemnya bapuk"
"53"," kantor bpjs disuruh daftar online daftar online memasukan data pndaftaran autodebit tulisan sistem tersedia gimanaaaa "
"54"," pengguna bpjs kesehatan cabang cibinong bogoryg skrg berdomisili kajen kab pekalonganniat hati meng aktifkan bpjs kes dtg kantor cabang kajen perihal relaksasi bpjs merubah faskessmp bertemu dgn satpam sajaintinya dpt memuaskansaya hny perlihatkan nominal tagihan sayatagihan jtsy bilang sy bs bayar via petugas dlm stpam terdiam"
"55","haduhh pulsa isi ribu daftar pulsa jam jam daftar pulsa maunya sihh pusing"
"56"," app app login password sesuai giliran ubah password no hp terdaftar giliran daftar no hp terdaftar suruh login gmn muter"
"57","tolong ya aplikasinya diperbaikisaya download jkn mobile versi terbaru versi jaringan internet ko masuk akun sihmasyarakat membutuhkan informasi mohon pelayanan mobile ditingkatkan lagijangan masyarakat mengeluhkan sulitnya seringkali error"
"58"," iyaa ka gangguan lupa sandi ikuti petunjuk memasukan nomer handphone ko log out terimakasih"
"59"," pengguna bpjs kecewakarena unsur paksaan penggunanya dibayar si pengguna bpjs terbebanikarena si pengguna masyarakat golongan menengah bawahtolong sanksi rumah sakit pengguna bpjs terlayani baikdan dilayanikemudian download login susah xpadahal versi terbaru tolong dibenahi sistem pelayanan nyaterimakasih"
"60"," mengikuti program relaksasi lunasi telpon memberitahukan program relaksasi bayarkan membantah cek catatan pembayaran jkn bukti data pembayaran relaksasi hilang percobaan oknum nakal"
"61"," rusak masukkan email akun susah kode verifikasi via sms masukâ kode verifikasi muncul alhasil kode dipakai pelayanan pemerintah memuaskan"
"62"," mendaftarkan pelayanan kesehatan mencoba dipakai apl mendaftar kontrol mama bertuliskan jadwal dokter "
"63","sumpah parah pke th skrg update mlh pasword slh trus pdhl udh bener giliran gnti pasword nmr tr dftr pke nmr sdh tdk aktf males ngurusnya"
"64"," gimana sih daftar udah masukin no nik tpi masukin lahir sesuai dispendukcapil ri tmpat lahir tertera disitu mohon bantuanya ya"
"65","download mempermudah ubah data kantor bpjs kantor bpjs daerah ku banget download jknkis masuk menyetujui sk kesel banget udah ulang kali tetep udah install uninstall ulang tetep gabisa kecewa tolong develov diperbaiki"
"66"," sampah gagal masuk twitter konsultasi adminnya disuruh update padahl versi terbaru dsrh coba berkala sedngkan coba berkali masuk menunggu detik masuk sampe emang aplikasinya bermasalah adminya twteer mohon maaf disarankan dicoba berkala terima kasih sampe bego masuk klo sistem aplikasinya jelek"
"67"," update pelayanan pemerintah login password ganti bilang salah suruh ganti pasword konfirmasi pakai nomor hp bialng salah nomor hp cuman ğğğğğğ"
"68"," updateloginselalu salahentah apanya salah penyempurnaan aplikasiternyata penyempurnaannyaklu dipersulit utk permudahbegitukah"
"69","udah ngisi ampe tarakhir infonua terdaftar ibunya udh terdaftar mksdnya gimana sih diarahin pandawa link anteran maunya bgm sih bpjs susah"
"70"," daftar jkn mobile pakai email opsi login pakai email dihilangkan trus nasib akun jkn mobile daftar ulang tolong opsi login email dimunculkan "
"71"," bodoh daftar verifikasi nomor hp alihkan muter muter disitu dulunya tender mahasiswa tekhnik informatika jurusan tata boga"
"72"," keluh kesah pengguna maaf ketidaknyaamannanya memperbaiki bla bla bla dilontarkan kenyataannya tetep error"
"73","dear bpjs kesehatan pakai pelayanan jam mengkonfirmasi no hp menunggu jam kerja dituntut pelayanan prima jam utk layanan cs utk memudahkan konfirmasi kode otp hp no hp aktif sesuai dgn sistem bpjs kesehatan pd jam kerja bth darurat diluar jam kerja nunggu harimengecewakan"
"74"," daftar app mobile jkn no bpjsnya tp giliran log in gk bayar tagihan aplikasipun jawabannya terbayar gmna sih disarankan daftar online tp tolong bantuannyağ"
"75"," tlg diperbarui merugikan penguna pasword email sandi tetep nggak masuk donlot kartu berobat susah masuk login apknya batas masuk diksh hrs menunggu tlg diperbarui biar nggak merugikan trims"
"76"," kemarin komplain karna kesalahan data clear log in apky nomor kartu terdaftar password salah udah bener tolong diperbaiki menyulitkan penggunanya berkali log ij data "
"77","selamat pagi bpjskemarin kekantor bpjs kabupaten menambah peserta anakdari customer service disuruh download mobile jkntapi download mengisi data lengkap terkonfirmasi dngn alasan data sesuai dgn alamatpadahal data isi sesuai dgn kartu keluargasehsrusnya dgn pendaftaran online evisien ribetsementara kasih bintangmohon terima kasih"
"78"," udah masukkan data no hp tp bilang no hp tdk terdaftar no hp orlin no hp ndak ganti hamil ngurus bpjs kis dipersulit kantor dr tgl mlah disuruh pulang pdhal bawa berkas lengkap online online ditunggu dihubungi wa hasil coba berharap membantu ğğ"
"79"," update login login password salah arahkan lupa password akses verifikasi email verifikasi notelp pilihan intinya password rubah login kecewa "
"80","sya sdh up date versi sdh lupa password ttapi pd konfirmasi nomor hp sya tdk bsa dkatakn mencoba sdh ratusan kali coba ttapi tdk bsa jga"
"81"," ganti nomor hp layanan pandawadan terganti login pake perangkat no hp melapor cs bpjssedangkan layanan pandawa layani chatbot layanan pandawa chatbot bpjs cabang bangka responjadi komunikasi bpjs menambah data peserta anak lahir"
"82"," jelassaya daftarkan nomer kis anak buka monitor dr input nomer hp verifikasiaduhh tolong yaaaklu melayani masyarakat benarjangan mobile dehbiaya naikin obatan batasi pengcoveran telat bayar dendatp pelayanan melempemsaya jg sdh download versi ajagak jelass"
"83"," password salah dr pakai passwrd sy sdh sukses mengganti no tlp pandawa knapa tertera ttap nomor tlp sy sdh tdk aktf merepotkan payah daftar pkai akun ank ktika msukin nomor tlp utk mnta kode otp hrs pkai pulsa kli krim otp tp pkai pulsa payaaaaahhhh kecewa"
"84"," konyol nih update enak dipake jkn login nomor terdaftar no dipake jg dipakeanehhhhh"
"85"," susah login memakai email memakai nik atw no bpjs giliran masukin nik pass bilang salah terdaftar giliran daftar pengguna mobile dibilang terdaftar hadeuh payah"
"86"," ribet urusannya masukkan nomor hpsudah masukkan nomor hp balasannya nomor masukkan tdk sesuai maaf bpjs gunakn bpjs ketenaga kerjaan daftar perusahaan terkait nomor hp daftarkan tdk nomor aktif trus supuaya akses "
"87","ribet banget masuk masuk akun sayakatanya no bpjs salah mulu pasword salah udah reset pasword giliran daftar ulang mobile pake no hape beda no bpjs samano bpjs udah terdaftar nomor masuk dng alasan no bpjs salahahhh "
"88","orang sakit disuruh daftar kayak gini susahnya sakit ribuan kali ulang alamatnya salah sesuai ktp tolong diperbaiki masyarakat"
"89"," sih buka loading selesaiâ penjelasan gini nih hasil pekerjaan percayakan pemerintah pegawai it kemana ya aneh"
"90","habis update masuk gabisa lagiudh masukin no bener bilang sandinya salahpas ubah sandi bilang no hp salahpdahal udah no pake daftar gabisagajelas emang ğ"
"91"," kali daftar masukan nomer kartu keluarga pencariannya gagal kartu keluarga terdaftar dikeluarkan dukcapil parah ya"
"92","plin plan update mulu ribet woiii knp sy nonaktif karna premi udah autodebet mandiri woiiii enak main non aktifan mmg dri bpjs potong saldo bayar premi salah ditarik skg ak bayar pakai jasa tetep kepotong lipat alasan sistem deposit pembayaran permainan wkwkwkwkwk"
"93"," eror ubah paskes susah udah kirim kode otp jugak kali ulang ulang ubah tolong perbaiki aplikasinya mudah susahtolong perbaiki sistemya ğ"
"94"," gimana ya ya emang kenyataan bayangkan mo otp kudu pakai pulsa swasta gratis parahnyadi hp gw isi rb kirim otp tulisanya pulsa mencukupi mo "
"95","repot isi chika apalah berkas lengkap rumah dgn kantor bpjs pindah faskes tunggu blm pindah maksudnya klo mempersulit situ online mempersulit"
"96","kesel gabisa login rumah sakit mengharuskan daftar online apkikasinya sempurna alias acakâan orang berobat terhalang allah swt bersabda barang menyusahkan orang kelak disusahkan hidupnya akhirat"
"97"," sulit buka jkn sy sdh terdaftar coba daftar sesuai petunjuk alhasil pulsa habis tdk buka mobile jkn nmr verifikasi habiskan pulsa brosangat kecewa bro berbuatlah kebaikan manusia pahala perasaan orng kecewakan gegara mobile jkn gk terbuka hrs isi pulsa tuk verifikasi nmr"
"98"," kasih nilai log in alasannya krna kartu pascabayar terima otp otp diterima masuk kali denger alasan otp pra pascabayar berkalikali menghubungi call center "
"99"," ribetsetelah update pulsa kode verifikasi via nohppasword pakaiharus ganti laintolong dibikin ribet kaya ajabuat buka mesti pake pulsağmengecewakan"
"100"," masukan data alamat sesuai ktp notifikasi data alamat sesuai ktp mohon isi data alamat sesuai ktp mengecewakan mohon dicek perbaiki sistemnya terima kasih"
"101"," daftar ngak no hp tertera salah arahkan hubungi pandawa hubungi chat wa ngak tanggapan dm instagram ngak baca ngak balas blibet daftar mobile kantor bpjs rubahkonfirmasi no hp doang ğââïğââï"
"102","alamat lengkap isiya otomatis daftarmohon perbaiki nyasya blm kasih bintang karna blm bs pakesaya pake androidmhon masukan "
"103"," portal berita lihat berita daftar tp login udah malem login halo pengembang bermutu sikit lapor presiden ah ğ"
"104"," kis orang tua nonaktifkan pemberitahuan ybs berobattolong bpjs penonaktifan dri merubah bpjs mandiri beritahukan urusini ads pemberitahuan berobat gunakanini nama orang tua lhoo"
"105"," login via email udah fitur login via email dihapus orang nomor ponsel aktif salah satunya nomor hilang login karna nomor pelayanan mempersulit customer login via email tdk repot nunggu jam kerja laporan pakai "
"106"," versi bukanya membantu ribetversi udh bagus burukmasa verivikasi data lagiyg udh gunakanudh gtu pake pls lgkaya banking ajabangke pokonyaotp dr kali verivikasi"
"107"," buruk mempercepat memperlambat transaksi diproses daftar tolong diperbaiki nasional khalayak orang "
"108"," pilihan batal update diupdate respond mengadukan tanggapan manusia membalas ulasan mesin taunya "
"109"," login akun bpjs password sesuai ketentuan layanan semenjak menetapkan pembuatan password mengharuskan huruf login pelayanan memburuk"
"110"," verifikasi udah ngisi nomer kirain keterima mah notif pulsa oh oh pake pulsa kirain pake koneksi internet udah kaya lainya verifikasi pake pulsa update ginian update malesin banget kudu ngisi pulsa itung itung bayaranya kali ya pulsa tuh dikumpulin pulsanya dapet tuh "
"111","app berguna chika ngabisin pulsa hasil pengen daftar jkn salah nomor udah hubungin call center "
"112","ceritanya sibuk kerjaan jagain anggota keluarga sakit kantor bpjs coba pake daftar bpjs kk daftar eh tinggal daftar autodebet susahnya mati nyoba membantu masyarakat php tolong perbaiki"
"113"," ko kaya gini ganti pasword ribet no hape salah apanya salah kaga ganti nomer ribet gunainya "
"114","nulis lupa password rumah sakit nomer hp kaya daftarin tpi gk login aneh nyebelin banget cek ulang hasil tnmbahan anak lgi kelahira istri tolong aplikasinya benerin data sesuai tpi gk login"
"115","sampah internet stabil elu kali kentang sebulan bayar juta peserta hasilnya dapet pelayanan serba jutek rumah sakit helloow rs swasta program bpjs ngasih harapan palsu ujungnya dijutekin obat dicover bpjs"
"116","aduh tolong kerjasamanya admin masak admin aj proses berhenti ditengah diketerangan ditulis mnt suruh ngulang daftar eh admin bales chat lete banget udah pantengin chat kaga dibales haduhh ribet"
"117"," sih menggabungkan bpjs mandiri suami istri pandawa kasih link pilih udah nyanyain call center admin sosmed bpjs beda beda pilihan cerai dlu tolong kasih petunjuk baikterima kasih"
"118"," pengen ngebenerin bpjs kantor cabang disuruh pulang diurus dirumah olnine dateng kantor karna ngerti belibet online kadang server penuh udah penuh milih ngisi formulir udah ngisi prosesnya sampe bener saran tolong benerin cabang dipersulit online silahkan offline gpp atuh da teh awam pinter "
"119"," sampah log in ribet garagara ganti no telp ganti lupa password telepon call center buangbuang pulsa membantu jaman goa hubungkan email"
"120"," masuk sulitgimana daftar bpjs onlinedi buka aplikasinya susah gampang biar pusing masuk "
"121"," payah mempersulit hidup banget menguprgade no hp susah apalgi pake layanan pandawa bertele tele gajelas dateng kantor bpjs dftr diusir giliran dftr online kaya gini payah kasih bintang emng membantu"
"122","birokrasi beres ganti no hp oper jd dipersulit pandawa bener kayak niat kerja alasannya chat penuh jam pagi alasan jaringan bermasalah tolong pandawa tigaraksa benahin kinerjanya dipilih melayani masyarakat ngasih saran jaminan bermanfaat sarannya oper doang cs shopee jam sampe jam sore"
"123"," registrasi kk terverifikasi no kk kepake sih disuruh login gabisa daftar ulang ampun dah"
"124"," ribet malesin udah password udah bener login eh tau tau suruh ganti password situ nyuruh ganti password pake nomer hape ganti nomer hape call center bpjs alah si ribetnya kebangetan "
"125"," cek saldo ngk emang kayak gini kebijakan bpjs menyembunyikan saldo dibayar berobat pakai bpjs susah gimana dipakai bpjs cek saldo ngk "
"126"," tolong kenapasi aplikasinya login susahpassword salah mulu udah klik lupa password verifikasi no hpktanya terdaftar nomernya chat keluhan pandawa gada respon penuh penuh adeuh pusing"
"127"," dipersulit dipermudah pemerintah pusat dengarkanlah orang berobat sakit lansia mengerti teknologi daftar berobat langsung rs tsb tks"
"128","woyyy ngotak dikit sakit butuh penanganan krnapa suruh nunggu nunggu nunggu hla nunggu nyesel bayar bpjs"
"129"," konyol dibumi kode otentikasi dalan menit penyedia layanan dikirim sistem nomor terdaftar aktif diganti pulsa tetao otp pemerintah bank swasta super lancar kesal lapor no solusi"
"130"," diperbaiki bug coba perbagus kasian masyarakat gaptek sulit aksesnya nomor hp udah bener notif nomor salah nomor salah piyeee to kiiiiihhh getiiiing "
"131","verifikasi nomor hp gagal jaringan udh bagus tp sistem server aplikasinya bermasalah udh keluhan tolong diperbaiki"
"132"," nyesel download gk mempersulit tujuan ngutang beli paket mendaftar ulang masukan no hp membantu tolong dg ikhlas mempersulit kesulitan rasakan hapus sematamata php masyarakat "
"133"," ribet sedunia akhirat rutin update buruk update login sandi salah reset pasword nomor terdaftar coba daftar akun terdaftar bener "
"134"," sadar orang ya gini pelayanan udah sebulan daftar gini gagal autodebit tolong pikir pake otak pake robot pulsa nunggu server ngasih otp faham sumpah emosi dateng kantor suruh daftar mandiri giliran mandiri server lemot chat pandawa chika chat layanan administrasi nihil"
"135","nomor handphone terintegrasi menghubungi nada sambung menghubungi pandawa sibuk mulu jam dah coba hubungi sampek jam eh udah siaran jm alasan digitalisasi sih"
"136","jelek banget aplikasinya daftar bpjs tolong diperbaiki layanannya daftar ribet udah kantor langsung suruh daftar pake giliran mai pake ribetnya mati pelayanan gini ya rating kasih rating "
"137"," sih masuk akun aplikasinya udah uninstal diinstal ajah buka akun mohon yah cek susah"
"138","lupa passwordharus masukin no tlp no tlp aktip hubungi chika suruh masukin emailsedangkan tdk masukin emaildi pesbuk mempersulit"
"139","kasih bintang dlu pendaftaran masukin nik ektp isi data klik kolom lahir koq kotakab daerah aceh gada pilihan kotakab tolong perbaiki ya"
"140","semenjak update password ganti standar password masukin no telpon terdaftar nomor update no terbaru bot ngisi google form keterangannya melebihi kapasitas pelayanan disuruh coba jam kedepan coba pagi ampe siang sesuai jam operasioal tolong diperbaiki solved rating naikin "
"141"," memasukkan no handphone diberitahukan no hp sesuai data bpjs disitu diberitahu no hp terdaftar angka disensor no hp masukkan nomor nomor dibilang terdaftar"
"142","sekelas bpjs kagak becus dftr dibilang udh terdaftar dg nomor hp coba unistal tau data berubah tp tetep kagak daftar akun payah kecewa perbaiki akun dipersulit "
"143","ribet login mulu uang aplikasinya update mahal gapang pake ngapain ribet kayak "
"144"," rubah data tinggal verifikasi otp petunjuk sms verifikasi gagal terkirim sms otp masuk pulsa terpotongitu namanya maling sumpah nggak iklas biar makan hasil maling sengsara dunia akhirat"
"145","gw ngerti kegunaan gw th cm menuhin memori hp doank perubahan data jg hrs chat pandawa penjelasannya terkait utk "
"146"," diakses aplikasinya muncul tulisan transaksi diproses terkesan mempersulit ya bpjs kesehatan kantornya buka alasan pelayanan tatap muka "
"147"," mo duit gini lu daftar krn nomor telepon terdaftar nik berbeda komplain ganti nomor telepon respon bobrok "
"148"," nih login ko keterangannya perangkat login kartu berbeda hp login kartu mohon solusinya"
"149"," ayingdlu bagussekarang logout pasword lupa pilih lupa paswordmaaf pls ckup lucu khanharuskah pls dlu bs kirim sms ganti pasword doang"
"150"," disediakan pilihan dikirimkan kode otpverifikasi via email nomor hp nomor hp terdaftar nonaktif perubahan nomor hp verifikasi via sms berdasarkan faktor keamanan via email aman solusinya admin keluhan melani susilowati sebatas pernyataan solusi mohon dipertimbangkan pilihan pengiriman kode verifikasi minimal dikirimkan via email"
"151","daftar online daftar diproses coba ulangi sdh seminggu full coba jam selulu update gimana mo berobat bayar hak susah"
"152"," banget masukin no hp daftarin via wa wa disuruh beralih link link masukin nama no hp beralih pandawa selesai pandawa poto selpie pegang ktp trus poto kk ktp no hp eh beralih kepandaian pandawa beralih isi nik no hp gitu selesainya"
"153"," cacat direkomendasi mendaftar disusahkan kedepannya mencoba mendaftar akun akun dikasih arahan masuk dihalaman memasukan no kk berhasil mendaftar akun akun sangatsangat mengecewakan mohon pengembang pekerja carilah kerja uangnya "
"154"," kantornya suruh daftar online udh download daftar gk masuk masuk udah chat via wa suruh isi formulir udh isi suruh nunggu menit hubungi udh menit gk hem"
"155","kesel sih update no handphone susah banget mesti layanan pandawa hubungi dialihkan medsos bpjs dialihkan care center tp ditelepon hubung kecewa banget"
"156"," tp perubahan yng jelasdulu login pake email data kk smuaskrng udh bisakedua kali ny login ulangdaftar pake email msh bisaskrng login pake nmr kartunikpake paswordbisatiba pasword salahbaru kmrn lohakhir lupa pasword ganti pasword lg loginmau login salah lg pasworddahlah capekbnyak permainan "
"157"," baca ulasan pengguna dr sampe akhir keluhan sy alami login gimana bs klo login coba kantor cabang bpjs hahaha skr kantor bpjs pegawainya lho didalem gedung satpam satpam ngasi arahan utk pandawa dgn keterbatasan pengetahuannya pegawai bpjs kantor kanwil bpjs pegawai satpam dgn bpjs"
"158","app nyusahin daftar gabisaâ nomor terdaftar suru menghubungi pelayanan administrasi whatsapp sya coba suru hubungi nomor nomor suru instagram facebook twitter hadeh nyusahin warga "
"159"," bener sistem ribet udah download kemaren udah perubahan data pandawa pindah perusahaan mandiri daftar masuk jkn urusan ribet paksa pembayaran autodebet ok pilih non bank langsung isaku klo email sesuai format suruh merubah data ribet pemula jkn "
"160"," sya registrasi ulang krna nonaktif tpi dmn menunya diarahakan call center andaikan call center gratis ya gpp"
"161"," memudahkan sekalidibuka sinyal penuh kuota internet loading terusperbaiki kualitasnya apaâ online aplikasinya mendukung udah oke tambahin bintangnya"
"162","tolong perbaiki error buka pentingloh rakyat disuruh bayarnya cepat error gini banget perbaikinnya"
"163"," kacau proses ujungnya kantor cabang mengganti data log in tolonglah perhatikan inikan seharus mempermudah aplikasiny jdi berguna kecewağ"
"164"," yaa data dibilang salah ya no hp no bpjs no nik password semuaaaaa dibilang salah masuk login coba deh perbaiki klo diupdate mohon dipermudah login mempersulit"
"165","mohon maaf jaringan secepat dibutuhkan verifikasi nohp dr smpai wifi aj dibilang koneksi internet lambat"
"166"," update mudah akses update susahnya ampun akses akun password masuk ubah password daftar akun susah"
"167"," sulit login sih pakai nik no kartu eh password salah jelasâ passwordnya kembaliin login pakai email lg biar mudah pesan diketik login"
"168"," akses internet mudah buka gameâ berat developer open source tujuan mempermudah mempercepat masyarakat mengakses membutuhkan tolonglah diperbaiki kelancaran kemudahan terimakasih"
"169"," verifikasi no hp jkn mobile no sy sesuai data bpjs jelasâ no masukin no sy hub cs jg mesti hrs nunggu wa pandawa bolak jawabannya mengerti membantu skli mengecewakan buruk pokok "
"170"," daftar mengikuti dioerintahkan suruh masukin nomor kk giliran dimasukin nik isi data isi klik nik terdaftar disdukcapil ya terdaftar orang dimasukin nomor nik mintanya no kk koplak sistem pake otak masukin kk ya giliran dimasukin nik ya udah singkron "
